type,name,detail
primary,Determined Acquisition,"The resistance arrayed against you is formidable indeed, yet your orders are clear; take and hold the ground ahead, heedless of the cost."
primary,Purification,The ground here is corrupted It must be cleansed and sanctified of its daemonic taint. Kill all exposed to its malignance and perform the rituals of purification.
primary,Prepare the Way,The Hive Mind’s imperatives are clear: overcome the enemy. Drive them from their holdfasts and bury them with weight of numbers. Prepare this world for consumption.
primary,Outmanoeuvre,"Speed and positioning are key in any battle. Outflank the enemy, seize high ground and routes of resupply. Choke them to death."
primary,Search and Scour,"Forward elements report enemy movement in this sector. Move out, locate the foes and halt their operation before it gathers momentum."
primary,Triangulation,"By acquiring and transmitting precise coordinates, your forces will be able to summon reinforcements, saturate the battlefield with artillery fire or call in other means of support."
primary,Cult Ritual,"Beneath this battlefield lies a nexus of warp energy. Sweep the enemy aside, drive them from places of power and conduct your rituals. Then shall reality be torn asunder and the blessings of Tzeentch fall upon you."
primary,For the Kindred,The enemy trespasses upon claimed ground. Strike forth and defend your claim. Let none be ignorant of the fact that this ground belongs to the kindred.
primary,Complete Annihilation,These foes delay us from our holy duties. Destroy them. Let nothing remain of their corpses but glowing ash. Then we shall take what is ours.
primary,For Cadia!,"The Emperor demands, soldiers! Advance, wrest your objectives from the foe and remind these curs that Cadia fights on!"
primary,Immovable Object,"Obstinance is often the key to victory. Weather everything the enemy throws at you. If your opponent is to take any ground, they will have to wade through their own dead to do so."
primary,Reconnaissance Sweep,"Enemy movements have aroused suspicion. Disperse your forces, probe their lines and decipher their intentions."
primary,Punishment,"Those who resist must be punished. Make a bloody example of them, and leave none in doubt as to your mastery."
primary,Architects of Agony,Inflict unspeakable agonies upon the enemy and let their pain empower you to victory.
primary,Defenders of the Golden Throne,"Those who seek to despoil the Emperor's realm must be brought to justice and their plots shattered. Seize ground, dominate the battlefield and leave the foe in no doubt as to your superiority."
primary,Secure Asset,A vital asset has been lost amidst the chaos of battle. You must secure the item at all costs.
primary,Grandiose Slaughter,"What more rewarding place for the sensorium than the field of war? Test yourself against the foe: spill their blood, bathe in their gore, and drink in their anguished screams."
primary,Inexorable Conquest,"None shall halt the march of the Death Guard. March upon the enemy, bestow upon them Grandfather Nurgle's festering gifts and drive them from this place."
primary,Dynastic Reclamation,Lesser beings trespass upon your dynasty's territory. Send your legions against them and show them the error of their ways.
primary,On Holy Ground,The unbelievers dare to walk on this sacred ground? Stride forth and meet them. Seize and hold ground. Demonstrate unto them the folly of opposing the God-Emperor.
primary,Gather Intel,The nature and motivation of the foe remains unclear. Test their mettle and seize pertinent intelligence from the field of battle.
primary,Battlefield Dominance,This battlefield holds great significance for the wider war effort. You must seize control of it. Let nothing stand in your way.
primary,Unstoppable Force,"The enemy are arrayed before you in number, and well prepared for the coming assault. Smash through their defences. Grind them to dust."
primary,Indescriminate Butchery,Blood for the Blood God! Skulls for the Skull Throne! Butcher them all and raise totems in Khorne’s honour.
primary,Destroyer's Wrath,"Victory here shall not be measured in ground taken or plunder seized, but in the mangled corpses of your foes and the grisly trophies hewn from their bodies."
primary,Shatter the Veil,"Conquer the battlefield. Slaughter your foes and spill oceans of blood, and, in doing so, earn the patronage of the Dark Gods."
primary,Smoke and Mirrors,"Cunning is as potent a weapon as overwhelming force. Outnumbered or outgunned, you must make use of subterfuge and misdirection to pick the enemy apart."
primary,Inquisitorial Sanction,"The enemy force poses a threat to the Imperium's integrity. Press forward, drive them from their holdfasts and kill their leaders, lest their heretical plots come to fruition."
primary,Meatgrinder,"Vicious and without relent, this battle has descended into base savagery. Only one path to victory remains: kill more of the enemy than they can kill of you."
primary,Extract Relic,A priceless relic saturated with eldritch power lies somewhere on the field of battle. Secure the sensor array at the heart of the battlefield and direct its energies to locating the prize.
primary,Inescapable Dominion,Your first priority must be to dominate the battlefield. Seize strongpoints and dig in. Only then may you turn your full attention to slaughtering the foe.
primary,Locate and Deny,"The enemy is searching for an asset of value. By cunning or by force of arms, prevent its retrieval."
primary,Consecrate,"Whether in the name of grand ideals or simply to satisfy the thirst of their terrible gods, your warriors must consecrate this battlefield with the blood of their foes."
primary,Vital Link,A key communications node is located in the midst of this battlefield. Control of this node is crucial to the continued success of your armies. Ensure it does not fall into enemy hands.
primary,Sabotage,"Strike deep behind enemy lines, sabotage supply routes, fortifications and heavy weapons. By doing so you may lay the groundwork for future offensives."
primary,Vanguard Operation,"Striking deep beyond the front lines, your forces must employ speed and cunning to secure their objectives before the enemy responds."
primary,Delaying Action,Your enemies are on the march. Commit your warriors to battle and make the foe pay a bloody price for every foot of ground.
primary,Death Trap,"Even the most potent enemy force can be undone with sufficient preparation. Lay minefields, dig trenches and draw the enemy into pre‑prepared killing zones."
primary,Purge and Secure,"Enemy pickets and reconnaissance have engaged your vanguard. Move forward, seize defensive positions and repel the assault at all costs."
primary,Strike from on High,There will be no holding ground. Engage the enemy with speed and violence. Take what they hold and leave their corpses as carrion for vermin.
primary,Expansionary Campaign,The T'au Empire demands territory. Your priority must be to seize and hold ground. Gouge a foothold for the Fire caste to exploit.
primary,Uphold Your Vows,"A vow once sworn must be fulfilled. Confront the foe, drive them back and take the heads of their leaders. Only then will the God-Emperor offer you his blessings."
primary,Honour the Chapter,"Seize your objectives and let no opponent drive you from them. Win a glorious victory this day and, by doing so, uphold the Chapter's honour."
primary,Seize their Strongholds,"Praise the enemies of the Emperor from their bolt holes and bastions, seize their vacated positions and subject them to the pitiless judgement of the Unforgiven."
primary,Slay the Oppressors,"The Day of Ascension is almost upon us. You must prepare the way for its arrival. Ride forth, drive the oppressors back and slay their commander."
primary,Outflank and Encircle,"Agility and speed: these are the hallmarks of the Asuryani warhost. Use them to your advantage, outflank the foe and seize what is rightfully yours."
primary,Duff 'em Up!,Deez gitz fink dey'z better'n us Orks. Give 'em a krumpin' dey won't forget!
primary,Encircle and Destroy,"Warriors of Fenris! The foe taunts us with their presence. We shall give them the battle they desire, but on our terms. Surround them, cut off their routes of retreat and then, when their fate is sealed, rip their beating hearts from their chests."
primary,Surveil the Foe,Information is power. Evaluate the strengths and weaknesses of the enemy and feed this crucial information back to your superiors.
secondary,Bring It Down,"WHEN DRAWN: If there are no enemy models with a **W** of 10 or more on the battlefield, you can discard this card and draw one new **Secondary Mission** card."
secondary,Outflank,**Designer’s Note:** Opposite battlefield edges are those parallel to each other.
secondary,Engage On All Fronts,"If one or more friendly units (excluding **AIRCRAFT** and **battle‑shocked** units) are wholly within a table quarter, and those units are not within 6"" of the centre of the battlefield, you have a **presence** in that table quarter."
secondary,Plunder,"**WHEN DRAWN:** If the Cleanse **Secondary Mission** is active for you, you can draw one new **Secondary Mission** card and shuffle this card back into your **Secondary Mission** deck."
secondary,Beacon,**WHEN DRAWN:** Select one friendly unit on the battlefield or embarked within a **TRANSPORT** on the battlefield to be your **beacon** unit.
secondary,Forward Position,"**WHEN DRAWN:** If it is the first battle round, you can draw one new **Secondary Mission** card and shuffle this card back into your **Secondary** **Mission** deck."
secondary,Assassination,
secondary,Display of Might,
secondary,Burden Of Trust,"**WHEN DRAWN/START OF YOUR TURN:** For each **objective**, you can select one friendly unit on the battlefield to **guard** that **objective**. Until the start of your next turn, while that unit is within range of that **objective** and while you control that **objective**, that **objective** is **guarded** by your army."
secondary,Centre Ground,
secondary,Secure No Man's Land,
secondary,Cleanse,"**WHEN DRAWN:** If the Plunder **Secondary Mission** is active for you, you can draw one new **Secondary Mission** card and shuffle this card back into your **Secondary Mission** deck."
secondary,A Grievous Blow,"**WHEN DRAWN:** If there are no enemy units with a **starting strength** of 13+ on the battlefield, you can discard this card and draw one new **Secondary Mission** card."
secondary,No Prisoners,
secondary,Overwhelming Force,
secondary,A Tempting Target,**WHEN DRAWN:** Your opponent selects one **objective** (excluding **home objectives**) within No Man’s Land to be your **tempting target**.
secondary,Behind Enemy Lines,"**WHEN DRAWN:** If it is the first battle round, you can draw one new **Secondary Mission** card and shuffle this card back into your **Secondary** **Mission** deck."
secondary,Defend Stronghold,"**WHEN DRAWN:** If it is the first battle round, draw one new **Secondary Mission** card and shuffle this card back into your **Secondary Mission** deck."
deployment,Hammer and Anvil,
deployment,Crucible Of Battle,
deployment,Sweeping Engagement,
deployment,Dawn Of War,
deployment,Tipping Point,
deployment,Search and Destroy,
deployment,Combat Patrol Deployment 1,
deployment,Combat Patrol Deployment 2,
deployment,Combat Patrol Deployment 3,
layout,Mission Layout,
layout,Take and Hold / Take and Hold - Layout A,
layout,Take and Hold / Take and Hold - Layout B,
layout,Take and Hold / Take and Hold - Layout C,
layout,Take and Hold / Purge the Foe - Layout A,
layout,Take and Hold / Purge the Foe - Layout B,
layout,Take and Hold / Purge the Foe - Layout C,
layout,Take and Hold / Disruption - Layout A,
layout,Take and Hold / Disruption - Layout B,
layout,Take and Hold / Disruption - Layout C,
layout,Take and Hold / Priority Assets - Layout A,
layout,Take and Hold / Priority Assets - Layout B,
layout,Take and Hold / Priority Assets - Layout C,
layout,Purge the Foe / Purge the Foe - Layout A,
layout,Purge the Foe / Purge the Foe - Layout B,
layout,Purge the Foe / Purge the Foe - Layout C,
layout,Purge the Foe / Disruption - Layout A,
layout,Purge the Foe / Disruption - Layout B,
layout,Purge the Foe / Disruption - Layout C,
layout,Purge the Foe / Reconnaissance - Layout A,
layout,Purge the Foe / Reconnaissance - Layout B,
layout,Purge the Foe / Reconnaissance - Layout C,
layout,Purge the Foe / Priority Assets - Layout A,
layout,Purge the Foe / Priority Assets - Layout B,
layout,Purge the Foe / Priority Assets - Layout C,
layout,Disruption / Disruption - Layout A,
layout,Disruption / Disruption - Layout B,
layout,Disruption / Disruption - Layout C,
layout,Disruption / Reconnaissance - Layout A,
layout,Disruption / Priority Assets - Layout A,
layout,Disruption / Priority Assets - Layout B,
layout,Disruption / Priority Assets - Layout C,
layout,Reconnaissance / Reconnaissance - Layout A,
layout,Reconnaissance / Reconnaissance - Layout B,
layout,Reconnaissance / Reconnaissance - Layout C,
layout,Reconnaissance / Priority Assets - Layout A,
layout,Reconnaissance / Priority Assets - Layout B,
layout,Reconnaissance / Priority Assets - Layout C,
layout,Priority Assets / Priority Assets - Layout A,
layout,Priority Assets / Priority Assets - Layout B,
layout,Priority Assets / Priority Assets - Layout C,
layout,Take and Hold / Reconnaissance - Layout B,
layout,Disruption / Reconnaissance - Layout C,
layout,Disruption / Reconnaissance - Layout B,
layout,Take and Hold / Reconnaissance - Layout A,
layout,Take and Hold / Reconnaissance - Layout C,
preset,Map 1,
preset,Map 2,
preset,Map 3,
preset,Take and Hold/Take and Hold - Layout A,
preset,Take and Hold/Take and Hold - Layout B,
preset,Take and Hold/Take and Hold - Layout C,
preset,Take and Hold/Purge the Foe - Layout A,
preset,Take and Hold/Purge the Foe - Layout B,
preset,Take and Hold/Purge the Foe - Layout C,
preset,Take and Hold/Disruption - Layout A,
preset,Take and Hold/Disruption - Layout B,
preset,Take and Hold/Disruption - Layout C,
preset,Take and Hold/Reconnaissance - Layout A,
preset,Take and Hold/Reconnaissance - Layout B,
preset,Take and Hold/Reconnaissance - Layout C,
preset,Take and Hold/Priority Assets - Layout A,
preset,Take and Hold/Priority Assets - Layout B,
preset,Take and Hold/Priority Assets - Layout C,
preset,Purge the Foe/Purge the Foe - Layout A,
preset,Purge the Foe/Purge the Foe - Layout B,
preset,Purge the Foe/Purge the Foe - Layout C,
preset,Purge the Foe/Disruption - Layout A,
preset,Purge the Foe/Disruption - Layout B,
preset,Purge the Foe/Disruption - Layout C,
preset,Purge the Foe/Reconnaissance - Layout A,
preset,Purge the Foe/Reconnaissance - Layout B,
preset,Purge the Foe/Reconnaissance - Layout C,
preset,Purge the Foe/Priority Assets - Layout A,
preset,Purge the Foe/Priority Assets - Layout B,
preset,Purge the Foe/Priority Assets - Layout C,
preset,Disruption/Disruption - Layout A,
preset,Disruption/Disruption - Layout B,
preset,Disruption/Disruption - Layout C,
preset,Disruption/Reconnaissance - Layout A,
preset,Disruption/Reconnaissance - Layout B,
preset,Disruption/Reconnaissance - Layout C,
preset,Disruption/Priority Assets - Layout A,
preset,Disruption/Priority Assets - Layout B,
preset,Disruption/Priority Assets - Layout C,
preset,Reconnaissance/Reconnaissance - Layout A,
preset,Reconnaissance/Reconnaissance - Layout B,
preset,Reconnaissance/Reconnaissance - Layout C,
preset,Reconnaissance/Priority Assets - Layout A,
preset,Reconnaissance/Priority Assets - Layout B,
preset,Reconnaissance/Priority Assets - Layout C,
preset,Priority Assets/Priority Assets - Layout A,
preset,Priority Assets/Priority Assets - Layout B,
preset,Priority Assets/Priority Assets - Layout C,
force_disposition,Take and Hold,
force_disposition,Disruption,
force_disposition,Priority Assets,
force_disposition,Purge the Foe,
force_disposition,Reconnaissance,
